Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
CSHX,CASHMERE VALLEY BANK,OTCQX U.S.,71.760000,,0,Common Stock,USA,Washington
TGEN,TECOGEN INC,OTCQX U.S.,1.790000,5.294100,745,Common Stock,USA,Massachusetts
FNGR,FINGERMOTION INC,OTCQX U.S.,6.890000,-1.430600,10536,Common Stock,USA,New York
GBTC,GRAYSCALE BITCOIN TRUST,OTCQX U.S.,48.750000,-0.449300,9146561,Common Stock,USA,Connecticut
AKOM,AERKOMM INC,OTCQX U.S.,2.600000,,0,Common Stock,USA,Nevada
IBTN,INSCORP INC,OTCQX U.S.,18.450000,2.500000,3369,Common Stock,USA,Tennessee
EQFN,EQUITABLE FINCL CORP,OTCQX U.S.,12.990000,,0,Common Stock,USA,Nebraska
FHBI,BAYFIRST FINL CORP,OTCQX U.S.,29.450000,0.511900,200,Common Stock,USA,Florida
SHWZ,MEDICINE MAN TECH INC,OTCQX U.S.,2.060000,-6.363600,84468,Common Stock,USA,Colorado
TGRF,TGR FINL INC,OTCQX U.S.,16.000000,0.313500,1955,Common Stock,USA,Florida
PKKW,PARKWAY ACQUISITION CORP,OTCQX U.S.,12.500000,0.000000,600,Common Stock,USA,Virginia
OTTW,OTTAWA BANCORP INC,OTCQX U.S.,14.400000,-2.040800,1010,Common Stock,USA,Illinois
CCNB,COASTAL CAROLINA BANC,OTCQX U.S.,10.000000,2.564100,5090,Common Stock,USA,South Carolina
STMH,STEM HLDGS INC,OTCQX U.S.,0.223000,-1.762100,468641,Foreign Ordinary Shares,USA,Florida
COSO,COASTALSOUTH BANCSHARES,OTCQX U.S.,17.000000,,0,Common Stock,USA,South Carolina
TDGMW,TIDEWATER INC 11/14/42 WT,OTCQX U.S.,13.360000,,0,Warrants,USA,Texas
CRSS,CROSSROADS SYS INC NEW,OTCQX U.S.,20.000000,7.411400,1838,Common Stock,USA,Texas
SVBT,SVB&T CORP,OTCQX U.S.,94.900000,,0,Common Stock,USA,Indiana
ETCG,GRAYSCALE ETHRM CLSSIC TR,OTCQX U.S.,27.350000,-1.618700,100143,Common Stock,USA,Connecticut
GBFH,GBANK FINL HLDGS INC,OTCQX U.S.,10.400000,,0,Common Stock,USA,Nevada
BSFO,BANK OF SAN FRANCISCO,OTCQX U.S.,25.310000,,0,Common Stock,USA,California
WRIV,WHITE RIVER BANCSHARES CO,OTCQX U.S.,83.000000,,0,Common Stock,USA,Arkansas
UCASU,UC ASSET LTD PRTNSHP UTS,OTCQX U.S.,2.000000,0.000000,200,Units,USA,Georgia
FNBT,FINEMARK HOLDINGS INC,OTCQX U.S.,33.990000,1.644700,500,Common Stock,USA,Florida
ZCSH,GRAYSCALE ZCASH TR ZEC,OTCQX U.S.,13.990000,-0.071400,64114,Common Stock,USA,Connecticut
OSBK,OCONEE FINL CORP,OTCQX U.S.,41.500000,,0,Common Stock,USA,Georgia
ETHE,GRAYSCALE ETHRM TR ETH,OTCQX U.S.,37.523000,-1.151200,5555962,Common Stock,USA,Connecticut
ALPIB,ALPINE BKS COLO CL B,OTCQX U.S.,38.500000,-0.233200,100,Common Stock,USA,Colorado
PPHI,POSITIVE PHYSICIANS HLDGS,OTCQX U.S.,9.150000,,2,Common Stock,USA,Pennsylvania
DSBX,DOGWOOD STATE BK RLGH NC,OTCQX U.S.,15.750000,1.612900,100,Common Stock,USA,North Carolina
GDLC,GRAYSCALE DIGITAL LG CAP,OTCQX U.S.,32.436500,-3.891900,324761,Foreign Ordinary Shares,USA,Connecticut
BOID,BANK IDAHO HLDG CO,OTCQX U.S.,28.500000,,0,Common Stock,USA,Idaho
INBC,INBANKSHARES CORPORATION,OTCQX U.S.,10.000000,,0,Common Stock,USA,Colorado
GNRS,GREENROSE ACQ CORP,OTCQX U.S.,9.940000,-1.681500,9145,Common Stock,USA,New York
DCSX,DIRECT COMM SOLUTIONS,OTCQX U.S.,0.634600,-5.283600,3701,Foreign Ordinary Shares,USA,California
BCHG,GRAYSCALE BITCOIN CASH TR,OTCQX U.S.,4.975000,-5.776500,408469,Common Stock,USA,Connecticut
BITW,BITWISE 10 CRYPTO IDX UT,OTCQX U.S.,53.500000,-1.473300,113007,Units,USA,California
TGAN,TRANSPHORM INC,OTCQX U.S.,4.600000,-0.432900,582,Common Stock,USA,California
LTCN,GRAYSCALE LITECOIN TR LTC,OTCQX U.S.,15.950000,-3.333300,154762,Common Stock,USA,Connecticut
BBXIA,BBX CAPITAL INC A,OTCQX U.S.,9.850000,0.818800,20147,Common Stock,USA,Florida
OBTC,OSPREY BITCOIN TR UBI,OTCQX U.S.,16.790000,-4.275900,59094,Units,USA,New York
