Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
TOMO-USD,2.5324013,2021/11/12,12:26 GMT,-0.014178753,2.524928,2.590302,2.457522,9359914,,,,,,,
MLN-USD,126.77145,2021/11/12,12:25 GMT,-4.3319626,130.99387,131.1944,125.54823,8268829,,,,,,,
STEEM-USD,0.59208,2021/11/12,12:26 GMT,-0.008955181,0.59978163,0.6009549,0.5874959,6111548,,,,,,,
FUN-USD,0.021107724,2021/11/12,12:24 GMT,7.6224096E-4,0.020585777,0.021782821,0.020410612,17088200,,,,,,,
MAID-USD,0.51378965,2021/11/12,12:26 GMT,-0.004106581,0.5179405,0.523665,0.5106272,834640,,,,,,,
ARK-USD,1.8302139,2021/11/12,12:26 GMT,-0.04521501,1.881758,1.881758,1.8141328,7089732,,,,,,,
MIR1-USD,3.220691,2021/11/12,12:26 GMT,-0.16227484,3.315368,3.3205771,3.1879706,25710866,,,,,,,
REP-USD,23.487843,2021/11/12,12:26 GMT,-0.669981,24.172705,24.225605,23.144098,34690872,,,,,,,
XCH-USD,165.19008,2021/11/12,12:26 GMT,-8.594803,169.9625,170.25356,163.17087,27654596,,,,,,,
STRAX-USD,2.0450933,2021/11/12,12:26 GMT,-0.055113316,2.1085892,2.1243892,2.013838,15169883,,,,,,,
SAPP-USD,0.5065706,2021/11/12,12:26 GMT,-0.032841325,0.53356344,0.53799915,0.5027845,690687,,,,,,,
DERO-USD,25.002848,2021/11/12,12:26 GMT,-0.6245556,25.476053,27.022387,24.521534,2379224,,,,,,,
SYS-USD,0.4431529,2021/11/12,12:26 GMT,0.047510773,0.404184,0.45063454,0.39842272,29574564,,,,,,,
VRA-USD,0.061956342,2021/11/12,12:24 GMT,-0.00499497,0.06461965,0.0671318,0.057447292,77753640,,,,,,,
EWT-USD,9.508484,2021/11/12,12:26 GMT,0.020952225,10.136999,10.193176,9.386756,5982449,,,,,,,
DAG-USD,0.22926785,2021/11/12,12:24 GMT,-7.5905025E-4,0.22765465,0.23263429,0.22604059,2690875,,,,,,,
STMX-USD,0.029825725,2021/11/12,12:26 GMT,-2.9232912E-4,0.02994305,0.030759217,0.029433172,16854324,,,,,,,
ACH-USD,0.088040695,2021/11/12,12:25 GMT,-0.0039095283,0.092093736,0.094530724,0.086574726,47606412,,,,,,,
ERG-USD,9.417356,2021/11/12,12:24 GMT,-0.5681944,9.746153,9.798754,9.375502,2900280,,,,,,,
BAND-USD,8.569634,2021/11/12,12:26 GMT,-0.39019108,8.791661,9.031539,8.443692,50075044,,,,,,,
CVC-USD,0.45429173,2021/11/12,12:25 GMT,-0.008461297,0.46673107,0.4676056,0.44849414,35224720,,,,,,,
ZNN-USD,48.702435,2021/11/12,12:25 GMT,-5.334015,49.719616,51.25387,47.66564,1523893,,,,,,,
ARDR-USD,0.31527728,2021/11/12,12:26 GMT,-0.006593168,0.32454357,0.32454357,0.31245202,12018115,,,,,,,
HIVE-USD,0.8062626,2021/11/12,12:26 GMT,-0.007946014,0.8196096,0.81963044,0.79856527,16258453,,,,,,,
SNT-USD,0.09387789,2021/11/12,12:25 GMT,-0.00389947,0.09573005,0.09655493,0.0929194,16947154,,,,,,,
ARRR-USD,1.8206033,2021/11/12,12:25 GMT,-0.05203986,1.8735393,1.885023,1.7978994,1186727,,,,,,,
RLC-USD,4.3870406,2021/11/12,12:25 GMT,-0.17626143,4.554147,4.6348634,4.288311,25041986,,,,,,,
ROSE-USD,0.23672631,2021/11/12,12:26 GMT,0.026621938,0.23015565,0.2737924,0.22438811,196467520,,,,,,,
MED-USD,0.06791245,2021/11/12,12:25 GMT,-0.0013666674,0.070957094,0.07107844,0.06731479,7686974,,,,,,,
ETN-USD,0.020472629,2021/11/12,12:26 GMT,-0.0019089691,0.021033062,0.021964638,0.02041434,1716734,,,,,,,
BCD-USD,2.0489132,2021/11/12,12:25 GMT,-0.10788131,2.1072617,2.1514525,2.015879,6085196,,,,,,,
OXT-USD,0.60383797,2021/11/12,12:25 GMT,-0.079535306,0.6391461,0.6561025,0.60140747,157579728,,,,,,,
TWT-USD,1.2407095,2021/11/12,12:25 GMT,0.04210961,1.3252636,1.3721569,1.2156837,137141536,,,,,,,
COTI-USD,0.499742,2021/11/12,12:25 GMT,-0.029021531,0.51293284,0.51738596,0.49053535,71000744,,,,,,,
VTHO-USD,0.01035668,2021/11/12,12:25 GMT,-4.2860582E-4,0.010638777,0.010663163,0.010207224,21656042,,,,,,,
NMR-USD,43.127357,2021/11/12,12:24 GMT,-1.3481483,44.00103,44.54099,42.525417,20871794,,,,,,,
LSK-USD,3.4138296,2021/11/12,12:26 GMT,-0.111236095,3.4841933,3.5162818,3.3790805,8811579,,,,,,,
NKN-USD,0.6426176,2021/11/12,12:26 GMT,-0.13315344,0.68992203,0.68992203,0.6140323,172321648,,,,,,,
SXP-USD,2.3708098,2021/11/12,12:26 GMT,-0.039668083,2.417908,2.4382682,2.3438487,116519712,,,,,,,
GLM-USD,0.5217659,2021/11/12,12:26 GMT,-0.013951123,0.5331516,0.5331516,0.51759046,7895365,,,,,,,
RSR-USD,0.040927164,2021/11/12,12:24 GMT,-0.001879923,0.042545542,0.043001413,0.040319216,46397968,,,,,,,
WIN1-USD,7.0422294E-4,2021/11/12,12:26 GMT,-3.3441873E-5,7.25842E-4,7.269237E-4,6.91077E-4,222625904,,,,,,,
XVG-USD,0.0330758,2021/11/12,12:26 GMT,0.0019582529,0.030007094,0.03699022,0.029960109,135525792,,,,,,,
KAVA-USD,5.6268144,2021/11/12,12:25 GMT,0.03707838,5.5704355,5.8480105,5.528094,78815760,,,,,,,
STORJ-USD,1.6433672,2021/11/12,12:25 GMT,0.12547708,1.5144504,1.6491275,1.4911981,99219744,,,,,,,
ZEL-USD,2.711167,2021/11/12,12:24 GMT,0.5689845,2.4255807,2.9285872,2.4255807,68369040,,,,,,,
NU-USD,0.86645883,2021/11/12,12:26 GMT,-1.0085106E-4,0.87169087,0.87429786,0.84609497,56108836,,,,,,,
CTSI-USD,1.2340461,2021/11/12,12:25 GMT,-0.16776085,1.4062257,1.4062257,1.1964234,1041889280,,,,,,,
VLX-USD,0.30894002,2021/11/12,12:26 GMT,-7.1814656E-4,0.3115647,0.31254464,0.29960284,15887556,,,,,,,
